page,chart,masked_text,bbox
37,Fornax,ERIDANUS,"(173.41207885742188, 277.12701416015625, 233.41207885742188, 290.0989990234375)"
37,Fornax,FORNAX,"(218.424072265625, 430.87103271484375, 266.1720886230469, 443.843017578125)"
37,Fornax,HOROLOGIUM,"(161.61607360839844, 566.2310180664062, 244.36805725097656, 579.2030029296875)"
37,Fornax,SCULPTOR,"(421.8554992675781, 450.9580078125, 482.7914733886719, 463.9300231933594)"
37,Fornax,PHOENIX,"(389.2275085449219, 563.3140258789062, 441.7874450683594, 576.2860107421875)"
38,Gemini,AURIGA,"(337.0356140136719, 265.95123291015625, 381.5316467285156, 278.9232177734375)"
38,Gemini,CANIS,"(160.46762084960938, 492.8592529296875, 195.7116241455078, 505.83123779296875)"
38,Gemini,MINOR,"(158.1876220703125, 505.9632568359375, 197.97962951660156, 518.9352416992188)"
38,Gemini,CANCER,"(91.39562225341797, 361.27923583984375, 138.2676239013672, 374.251220703125)"
38,Gemini,GEMINI,"(233.91961669921875, 346.92724609375, 276.7715759277344, 359.89923095703125)"
38,Gemini,MONOCEROS,"(266.5716247558594, 519.8952026367188, 343.34759521484375, 532.8671875)"
38,Gemini,ORION,"(449.48760986328125, 457.1112060546875, 487.93560791015625, 470.0832214355469)"
38,Gemini,TAURUS,"(449.32861328125, 329.16070556640625, 494.6286315917969, 342.1327209472656)"
38,Gemini,LYNX,"(119.8446044921875, 254.8927459716797, 148.3446044921875, 267.86474609375)"
39,Grus,GRUS,"(350.43609619140625, 385.8441162109375, 381.51611328125, 398.81610107421875)"
39,Grus,INDUS,"(351.912109375, 466.62811279296875, 388.860107421875, 479.60009765625)"
39,Grus,MICRO,"(443.07611083984375, 340.35211181640625, 487.1640930175781, 353.3240966796875)"
39,Grus,SCOPIUM,"(437.9761047363281, 353.45611572265625, 492.27606201171875, 366.4281005859375)"
39,Grus,PHOENIX,"(122.18411254882812, 509.09613037109375, 174.74412536621094, 522.068115234375)"
39,Grus,PISCIS,"(289.60809326171875, 300.82415771484375, 326.3520812988281, 313.796142578125)"
39,Grus,AUSTRINUS,"(274.76409912109375, 313.92816162109375, 341.19610595703125, 326.900146484375)"
39,Grus,SCULPTOR,"(143.32809448242188, 318.0081787109375, 204.26409912109375, 330.98016357421875)"
39,Grus,TUCANA,"(212.736083984375, 557.6242065429688, 260.98809814453125, 570.59619140625)"
40,Hercules,CORONA,"(436.8135070800781, 333.94140625, 487.15350341796875, 346.9134216308594)"
40,Hercules,BOREALIS,"(433.62152099609375, 347.04541015625, 490.3575134277344, 360.0174255371094)"
40,Hercules,HERCULES,"(312.43353271484375, 341.89739990234375, 372.6855163574219, 354.8694152832031)"
40,Hercules,LYRA,"(164.821533203125, 267.701416015625, 192.64952087402344, 280.67340087890625)"
40,Hercules,OPHIUCHUS,"(274.33355712890625, 592.9854125976562, 344.9775085449219, 605.9573974609375)"
40,Hercules,DRACO,"(281.7030944824219, 149.0542449951172, 322.4551086425781, 162.0262451171875)"
40,Hercules,BOOTES,"(453.8310852050781, 200.51023864746094, 499.8390808105469, 213.48223876953125)"
41,Horologium,CAELUM,"(126.26069641113281, 290.98394775390625, 174.1407012939453, 303.9559326171875)"
41,Horologium,DORADO,"(145.52069091796875, 520.4479370117188, 197.44468688964844, 533.419921875)"
41,Horologium,HOROLOGIUM,"(267.7406921386719, 371.91192626953125, 350.49261474609375, 384.8839111328125)"
41,Horologium,HYDRUS,"(258.2247009277344, 569.9359741210938, 306.2007141113281, 582.907958984375)"
41,Horologium,RETICULUM,"(232.0767059326172, 453.763916015625, 299.63671875, 466.7359313964844)"
41,Horologium,ERIDANUS,"(264.7690124511719, 256.86920166015625, 324.7690124511719, 269.8411865234375)"
42,Hydra,ANTLIA,"(327.4219055175781, 480.3125, 369.6258850097656, 493.2845153808594)"
42,Hydra,CANCER,"(456.4819030761719, 296.97650146484375, 503.3539123535156, 309.948486328125)"
42,Hydra,CRATER,"(268.1298828125, 398.8804931640625, 311.8338623046875, 411.85247802734375)"
42,Hydra,CORVUS,"(209.94187927246094, 400.344482421875, 257.29388427734375, 413.31646728515625)"
42,Hydra,HYDRA,"(330.60186767578125, 433.36846923828125, 371.01788330078125, 446.3404541015625)"
42,Hydra,PUPPIS,"(451.6578674316406, 483.2884521484375, 492.97381591796875, 496.26043701171875)"
42,Hydra,PYXIS,"(419.9058837890625, 440.76043701171875, 452.65386962890625, 453.732421875)"
42,Hydra,SEXTANS,"(334.2978820800781, 334.21240234375, 385.58587646484375, 347.1844177246094)"
42,Hydra,VIRGO,"(158.34188842773438, 362.22039794921875, 195.21791076660156, 375.1924133300781)"
42,Hydra,BOOTES,"(93.1050033569336, 308.17681884765625, 139.1129913330078, 321.1488037109375)"
43,Hydrus,HYDRUS,"(284.56451416015625, 391.041015625, 332.54052734375, 404.01300048828125)"
43,Hydrus,MENSA,"(176.51651000976562, 484.905029296875, 217.2685089111328, 497.87701416015625)"
43,Hydrus,OCTANS,"(389.20452880859375, 527.1930541992188, 435.95654296875, 540.1650390625)"
43,Hydrus,PHOENIX,"(432.33251953125, 247.6169891357422, 484.8924560546875, 260.5889892578125)"
43,Hydrus,RETICULUM,"(134.86453247070312, 265.38897705078125, 202.42454528808594, 278.3609619140625)"
43,Hydrus,HOROLOGIUM,"(161.0, 183.0386199951172, 243.7519989013672, 196.0106201171875)"
43,Hydrus,TUCANA,"(402.00799560546875, 378.1346435546875, 450.260009765625, 391.10662841796875)"
44,Indus,GRUS,"(126.50389862060547, 280.10260009765625, 157.58389282226562, 293.0745849609375)"
44,Indus,INDUS,"(260.2079162597656, 326.06256103515625, 297.1559143066406, 339.0345764160156)"
44,Indus,OCTANS,"(316.90789794921875, 558.694580078125, 363.659912109375, 571.6665649414062)"
44,Indus,PAVO,"(374.327880859375, 441.9825439453125, 404.5198669433594, 454.9545593261719)"
44,Indus,TELESCOPIUM,"(404.1598815917969, 348.92254638671875, 486.4918212890625, 361.8945617675781)"
44,Indus,TUCANA,"(155.7478790283203, 453.94659423828125, 203.9998779296875, 466.9185791015625)"
44,Indus,MICRO,"(280.6708984375, 245.1587371826172, 324.7588806152344, 258.1307373046875)"
44,Indus,SCOPIUM,"(275.5708923339844, 258.26275634765625, 329.870849609375, 271.2347412109375)"
44,Indus,SAGIT TARIUS,"(401.1988830566406, 229.61875915527344, 478.05889892578125, 242.59075927734375)"
45,Lacerta,ANDROMEDA,"(103.14649963378906, 385.46099853515625, 180.79847717285156, 398.4330139160156)"
45,Lacerta,CASSIOPEIA,"(159.03050231933594, 302.28900146484375, 228.85850524902344, 315.260986328125)"
45,Lacerta,CEPHEUS,"(251.23849487304688, 246.17698669433594, 304.49444580078125, 259.14898681640625)"
45,Lacerta,LACERTA,"(262.39849853515625, 392.48101806640625, 313.1944885253906, 405.4530029296875)"
45,Lacerta,CYGNUS,"(423.28759765625, 310.00543212890625, 471.1556396484375, 322.9774169921875)"
45,Lacerta,PEGASUS,"(140.20758056640625, 543.7654418945312, 193.52357482910156, 556.7374267578125)"
46,Leo,CRATER,"(134.5897979736328, 617.6162109375, 178.2938232421875, 630.5881958007812)"
46,Leo,HYDRA,"(397.4498291015625, 627.8641967773438, 437.8658447265625, 640.836181640625)"
46,Leo,LEO,"(292.62982177734375, 333.5281982421875, 314.46978759765625, 346.5002136230469)"
46,Leo,LEO MINOR,"(351.8138122558594, 150.4082489013672, 418.5097351074219, 163.3802490234375)"
46,Leo,SEXTANS,"(315.0218200683594, 471.876220703125, 366.309814453125, 484.8482360839844)"
46,Leo,VIRGO,"(125.59809875488281, 505.26568603515625, 162.47410583496094, 518.2376708984375)"
46,Leo,URSA,"(155.0220947265625, 151.3016815185547, 185.47808837890625, 164.273681640625)"
46,Leo,MAJOR,"(149.9460906982422, 164.4056854248047, 190.54208374023438, 177.377685546875)"
47,Leo Minor,LEO,"(238.94729614257812, 556.9771118164062, 262.8031311035156, 571.1464233398438)"
47,Leo Minor,LEO MINOR,"(225.52200317382812, 459.5791015625, 292.21795654296875, 472.5511169433594)"
47,Leo Minor,URSA MAJOR,"(207.9300079345703, 260.45111083984375, 284.0460205078125, 273.423095703125)"
47,Leo Minor,LYNX,"(450.1494140625, 385.60009765625, 478.6494140625, 398.5721130371094)"
48,Lepus,LEPUS,"(268.8774108886719, 464.150390625, 304.7093811035156, 477.1224060058594)"
48,Lepus,ORION,"(303.3721008300781, 272.35260009765625, 341.8200988769531, 285.3245849609375)"
48,Lepus,ERIDANUS,"(409.28411865234375, 261.7205810546875, 469.28411865234375, 274.69256591796875)"
48,Lepus,COLUMBA,"(304.5361328125, 530.820556640625, 362.07611083984375, 543.7925415039062)"
48,Lepus,CANIS,"(120.42013549804688, 458.92852783203125, 155.6641387939453, 471.9005432128906)"
48,Lepus,MAJOR,"(117.74413299560547, 469.93255615234375, 158.34011840820312, 482.904541015625)"
49,Libra,LIBRA,"(282.9364929199219, 454.6708984375, 316.1764831542969, 467.6429138183594)"
49,Libra,SCORPIUS,"(140.73648071289062, 552.4109497070312, 198.98448181152344, 565.3829345703125)"
49,Libra,VIRGO,"(408.76611328125, 240.1548309326172, 445.64208984375, 253.1268310546875)"
49,Libra,SERPENS,"(250.90611267089844, 221.21885681152344, 301.9780578613281, 234.19085693359375)"
49,Libra,CAPUT,"(257.1941223144531, 234.32286071777344, 295.69012451171875, 247.29486083984375)"
49,Libra,HYDRA,"(369.85009765625, 502.34283447265625, 410.26611328125, 515.3148193359375)"
49,Libra,CENTAURUS,"(366.2261047363281, 551.8668823242188, 435.7301025390625, 564.8388671875)"
49,Libra,OPHIUCHUS,"(122.39810180664062, 327.538818359375, 193.0421142578125, 340.5108337402344)"
49,Libra,LUPUS,"(252.0821075439453, 548.2188110351562, 289.1380920410156, 561.1907958984375)"
50,Lupus,ARA,"(134.42820739746094, 530.8955688476562, 157.2882080078125, 543.8675537109375)"
50,Lupus,CENTAURUS,"(358.6121826171875, 330.97552490234375, 428.1161804199219, 343.947509765625)"
50,Lupus,CIRCINUS,"(280.5641784667969, 534.9755249023438, 336.544189453125, 547.947509765625)"
50,Lupus,LIBRA,"(273.96417236328125, 240.2314910888672, 307.20416259765625, 253.2034912109375)"
50,Lupus,LUPUS,"(252.53216552734375, 316.467529296875, 289.588134765625, 329.43951416015625)"
50,Lupus,NORMA,"(210.37615966796875, 490.863525390625, 254.1881561279297, 503.83551025390625)"
50,Lupus,SCORPIUS,"(120.10015869140625, 329.76348876953125, 178.34815979003906, 342.7355041503906)"
50,Lupus,HYDRA,"(451.35888671875, 302.50054931640625, 491.77490234375, 315.4725341796875)"
51,Lynx,LYNX,"(259.71240234375, 378.58013916015625, 288.21240234375, 391.5521240234375)"
51,Lynx,LEO,"(101.5385971069336, 521.8877563476562, 123.37860107421875, 534.8597412109375)"
51,Lynx,AURIGA,"(437.1305847167969, 398.77972412109375, 481.6266174316406, 411.751708984375)"
51,Lynx,GEMINI,"(341.6225891113281, 497.8516845703125, 384.4745178222656, 510.8236999511719)"
51,Lynx,URSA,"(98.69459533691406, 286.60369873046875, 129.1505889892578, 299.57568359375)"
51,Lynx,MAJOR,"(93.61859130859375, 299.7197265625, 134.21458435058594, 312.69171142578125)"
51,Lynx,CANCER,"(179.34658813476562, 563.4197387695312, 226.21859741210938, 576.3917236328125)"
51,Lynx,CAMELOPARDALIS,"(332.2865905761719, 226.8677215576172, 438.9665832519531, 239.8397216796875)"
52,Lyra,LYRA,"(311.5111999511719, 307.04254150390625, 339.3392028808594, 320.0145263671875)"
52,Lyra,HERCULES,"(412.647216796875, 243.11851501464844, 472.8992004394531, 256.09051513671875)"
52,Lyra,VULPECULA,"(166.7672119140625, 550.1985473632812, 235.62322998046875, 563.1705322265625)"
52,Lyra,CYGNUS,"(188.70559692382812, 246.07908630371094, 236.57359313964844, 259.05108642578125)"
53,Mensa,CHAMAELEON,"(157.1605987548828, 566.1504516601562, 239.48060607910156, 579.1224365234375)"
53,Mensa,DORADO,"(305.7445983886719, 236.4023895263672, 357.6686096191406, 249.3743896484375)"
53,Mensa,HYDRUS,"(429.76458740234375, 417.74639892578125, 477.7406005859375, 430.7183837890625)"
53,Mensa,MENSA,"(278.2525634765625, 421.910400390625, 319.0045471191406, 434.88238525390625)"
53,Mensa,RETICULUM,"(415.52056884765625, 214.0343475341797, 483.08050537109375, 227.00634765625)"
53,Mensa,VOLANS,"(148.340576171875, 319.39434814453125, 195.44058227539062, 332.3663330078125)"
53,Mensa,OCTANS,"(366.8525085449219, 567.4248657226562, 413.6045227050781, 580.3968505859375)"
54,Microscopium,CAPRICORNUS,"(272.0145263671875, 262.75323486328125, 342.2845153808594, 273.563232421875)"
54,Microscopium,GRUS,"(186.48452758789062, 498.063232421875, 212.384521484375, 508.87322998046875)"
54,Microscopium,MICROSCOPIUM,"(261.8645324707031, 404.2232360839844, 340.78448486328125, 415.0332336425781)"
54,Microscopium,PISCIS,"(150.19290161132812, 313.9656982421875, 180.8129119873047, 324.77569580078125)"
54,Microscopium,AUSTRINUS,"(137.82290649414062, 331.4457092285156, 193.1829376220703, 342.2557067871094)"
54,Microscopium,INDUS,"(263.5129089355469, 550.9357299804688, 294.30291748046875, 561.7457275390625)"
54,Microscopium,SAGIT TARIUS,"(408.1029052734375, 436.335693359375, 472.15289306640625, 447.14569091796875)"
55,Monoceros,CANIS MAJOR,"(267.3735046386719, 572.1651000976562, 348.27752685546875, 585.1370849609375)"
55,Monoceros,CANIS,"(244.44149780273438, 331.45709228515625, 279.68548583984375, 344.4291076660156)"
55,Monoceros,MINOR,"(242.1614990234375, 344.56109619140625, 281.9534912109375, 357.5331115722656)"
55,Monoceros,CANCER,"(103.96949768066406, 243.2330780029297, 150.8415069580078, 256.205078125)"
55,Monoceros,GEMINI,"(241.5135040283203, 256.589111328125, 284.3654479980469, 269.56109619140625)"
55,Monoceros,LEPUS,"(457.8375244140625, 496.9130859375, 493.66949462890625, 509.8851013183594)"
55,Monoceros,MONOCEROS,"(199.6815185546875, 425.153076171875, 276.45751953125, 438.1250915527344)"
55,Monoceros,ORION,"(463.77752685546875, 338.1890869140625, 502.22552490234375, 351.16107177734375)"
55,Monoceros,HYDRA,"(102.96240234375, 352.18701171875, 143.37840270996094, 365.1590270996094)"
55,Monoceros,PUPPIS,"(128.72640991210938, 511.43902587890625, 170.0424041748047, 524.4110107421875)"
56,Musca,APUS,"(177.69479370117188, 453.349609375, 207.9587860107422, 466.3216247558594)"
56,Musca,CHAMAELEON,"(270.3227844238281, 489.92559814453125, 352.64276123046875, 502.8976135253906)"
56,Musca,CRUX,"(283.59478759765625, 298.74163818359375, 314.518798828125, 311.713623046875)"
56,Musca,MUSCA,"(312.5148010253906, 420.37359619140625, 354.1908264160156, 433.3456115722656)"
56,Musca,CENTAURUS,"(151.91160583496094, 256.24273681640625, 221.41561889648438, 269.2147216796875)"
56,Musca,CARINA,"(400.839599609375, 413.5386962890625, 445.02362060546875, 426.5107116699219)"
56,Musca,CIRCINUS,"(131.48760986328125, 397.99871826171875, 187.46762084960938, 410.970703125)"
57,Norma,ARA,"(161.00979614257812, 443.56744384765625, 183.8697967529297, 456.5394287109375)"
57,Norma,CIRCINUS,"(353.8017883300781, 467.06341552734375, 409.78179931640625, 480.0354309082031)"
57,Norma,LUPUS,"(434.72979736328125, 335.939453125, 471.7857666015625, 348.91143798828125)"
57,Norma,NORMA,"(276.101806640625, 397.78741455078125, 319.9137878417969, 410.7594299316406)"
57,Norma,TRIANGULUM,"(248.05780029296875, 550.6314697265625, 326.6337890625, 563.6034545898438)"
57,Norma,AUSTRALE,"(257.64581298828125, 568.115478515625, 317.04583740234375, 581.0874633789062)"
57,Norma,SCORPIUS,"(106.39399719238281, 237.4727020263672, 164.64198303222656, 250.4447021484375)"
58,Octans,APUS,"(321.6308898925781, 546.4463500976562, 351.8948974609375, 559.4183349609375)"
58,Octans,MENSA,"(114.03089904785156, 264.9503173828125, 154.78289794921875, 277.92230224609375)"
58,Octans,OCTANS,"(311.8748779296875, 444.80633544921875, 358.62689208984375, 457.7783203125)"
58,Octans,CHAMAELEON,"(97.89700317382812, 481.61138916015625, 180.2169952392578, 494.5834045410156)"
58,Octans,HYDRUS,"(243.30099487304688, 259.25140380859375, 291.2770080566406, 272.223388671875)"
58,Octans,TUCANA,"(422.6289978027344, 228.12339782714844, 470.8810119628906, 241.09539794921875)"
58,Octans,INDUS,"(412.260986328125, 306.35137939453125, 449.208984375, 319.3233642578125)"
58,Octans,PAVO,"(397.1889953613281, 484.52734375, 427.3809814453125, 497.4993591308594)"
59,Ophiuchus,OPHIUCHUS,"(250.6313018798828, 308.09381103515625, 321.2752685546875, 321.0657958984375)"
59,Ophiuchus,SCORPIUS,"(384.8153076171875, 594.02978515625, 443.06329345703125, 607.0017700195312)"
59,Ophiuchus,SCUTUM,"(114.21533203125, 430.74578857421875, 163.6193389892578, 443.7177734375)"
59,Ophiuchus,SERPENS CAUDA,"(195.77932739257812, 433.9737548828125, 292.88336181640625, 446.9457702636719)"
59,Ophiuchus,SAGIT TARIUS,"(122.26732635498047, 590.8617553710938, 199.12733459472656, 603.833740234375)"
59,Ophiuchus,HERCULES,"(262.9765930175781, 161.84568786621094, 323.22857666015625, 174.81768798828125)"
59,Ophiuchus,SERPENS,"(448.724609375, 310.94573974609375, 499.79656982421875, 323.917724609375)"
59,Ophiuchus,CAPUT,"(455.0126037597656, 324.06170654296875, 493.50860595703125, 337.0337219238281)"
60,Orion,CANIS,"(149.7895965576172, 561.2207641601562, 185.03358459472656, 574.1927490234375)"
60,Orion,MAJOR,"(147.1136016845703, 574.3247680664062, 187.7095947265625, 587.2967529296875)"
60,Orion,GEMINI,"(137.42959594726562, 273.78472900390625, 180.2816162109375, 286.7567138671875)"
60,Orion,LEPUS,"(280.8775939941406, 574.0367431640625, 316.7095642089844, 587.0087280273438)"
60,Orion,ORION,"(296.0216064453125, 323.668701171875, 334.4696044921875, 336.6407165527344)"
60,Orion,TAURUS,"(412.5776062011719, 225.72471618652344, 457.87762451171875, 238.69671630859375)"
60,Orion,MONOCEROS,"(102.3906021118164, 471.82574462890625, 179.16659545898438, 484.7977294921875)"
60,Orion,AURIGA,"(180.60659790039062, 163.7856903076172, 225.10260009765625, 176.7576904296875)"
60,Orion,ERIDANUS,"(402.7986145019531, 577.4257202148438, 462.7986145019531, 590.397705078125)"
61,Pavo,APUS,"(376.8432922363281, 524.2393188476562, 407.1072998046875, 537.2113037109375)"
61,Pavo,ARA,"(454.1352844238281, 347.94732666015625, 476.99530029296875, 360.9193115234375)"
61,Pavo,INDUS,"(105.82330322265625, 333.1392822265625, 142.77130126953125, 346.1112976074219)"
61,Pavo,OCTANS,"(266.95928955078125, 522.1273193359375, 313.7113037109375, 535.0993041992188)"
61,Pavo,PAVO,"(280.0752868652344, 377.29931640625, 310.26727294921875, 390.27130126953125)"
61,Pavo,TELESCOPIUM,"(254.63528442382812, 238.74729919433594, 336.96722412109375, 251.71929931640625)"
61,Pavo,AUSTRALE,"(443.40728759765625, 493.38726806640625, 502.80731201171875, 506.3592834472656)"
61,Pavo,TRIANGULUM,"(421.9740905761719, 480.78912353515625, 500.550048828125, 493.7611083984375)"
61,Pavo,TUCANA,"(102.99008178710938, 446.7091064453125, 151.24208068847656, 459.6811218261719)"
62,Pegasus,ANDROMEDA,"(142.77639770507812, 295.43023681640625, 220.42837524414062, 308.4022216796875)"
62,Pegasus,AQUARIUS,"(266.73638916015625, 524.2102661132812, 327.5763854980469, 537.1822509765625)"
62,Pegasus,CYGNUS,"(433.0924072265625, 299.53424072265625, 480.96044921875, 312.5062255859375)"
62,Pegasus,DELPHINUS,"(411.20440673828125, 394.07025146484375, 478.48834228515625, 407.042236328125)"
62,Pegasus,EQUULEUS,"(382.2484130859375, 478.9942626953125, 444.8763732910156, 491.96624755859375)"
62,Pegasus,LACERTA,"(282.6244201660156, 264.6502685546875, 333.42041015625, 277.62225341796875)"
62,Pegasus,PEGASUS,"(290.3044128417969, 395.5462646484375, 343.62042236328125, 408.51824951171875)"
62,Pegasus,PISCES,"(117.63819885253906, 464.80181884765625, 157.22621154785156, 477.7738037109375)"
62,Pegasus,VULPECULA,"(401.47418212890625, 362.86181640625, 470.3301086425781, 375.83380126953125)"
63,Perseus,AURIGA,"(105.07859802246094, 388.62994384765625, 149.5745849609375, 401.6019287109375)"
63,Perseus,CAMELOPARDALIS,"(163.5305938720703, 236.4579315185547, 270.2106018066406, 249.429931640625)"
63,Perseus,PERSEUS,"(218.5865936279297, 395.49395751953125, 269.526611328125, 408.4659423828125)"
63,Perseus,TRIANGULUM,"(413.46661376953125, 487.1739501953125, 492.0426025390625, 500.14593505859375)"
63,Perseus,CASSIOPEIA,"(335.98388671875, 241.4438934326172, 405.8118896484375, 254.4158935546875)"
63,Perseus,TAURUS,"(171.29588317871094, 556.035888671875, 216.59588623046875, 569.0078735351562)"
63,Perseus,ARIES,"(427.45989990234375, 572.7879028320312, 460.33990478515625, 585.7598876953125)"
63,Perseus,ANDROMEDA,"(407.263916015625, 371.79986572265625, 484.9159240722656, 384.7718811035156)"
64,Phoenix,HOROLOGIUM,"(115.97850036621094, 472.4501953125, 198.73048400878906, 485.4222106933594)"
64,Phoenix,PHOENIX,"(342.27447509765625, 447.8621826171875, 394.83441162109375, 460.8341979980469)"
64,Phoenix,RETICU,"(93.62246704101562, 513.730224609375, 140.45848083496094, 526.7022094726562)"
64,Phoenix,LUM,"(104.8304672241211, 526.834228515625, 129.23846435546875, 539.8062133789062)"
64,Phoenix,SCULPTOR,"(320.87847900390625, 266.49420166015625, 381.814453125, 279.4661865234375)"
64,Phoenix,TUCANA,"(366.74249267578125, 515.3021850585938, 414.9945068359375, 528.274169921875)"
64,Phoenix,ERIDANUS,"(97.8926010131836, 380.6201171875, 157.89260864257812, 393.59210205078125)"
64,Phoenix,FORNAX,"(129.75259399414062, 307.80413818359375, 177.50059509277344, 320.776123046875)"
64,Phoenix,GRUS,"(454.6045837402344, 479.6561279296875, 485.6845703125, 492.62811279296875)"
64,Phoenix,HYDRUS,"(223.32858276367188, 585.004150390625, 271.3045654296875, 597.9761352539062)"
65,Pictor,CAELUM,"(410.533203125, 245.3970184326172, 458.4132080078125, 258.3690185546875)"
65,Pictor,COLUMBA,"(285.0491943359375, 271.20904541015625, 342.58917236328125, 284.1810302734375)"
65,Pictor,DORADO,"(337.8132019042969, 469.197021484375, 389.7372131347656, 482.1690368652344)"
65,Pictor,PICTOR,"(287.90521240234375, 350.39703369140625, 330.43316650390625, 363.3690490722656)"
65,Pictor,RETICULUM,"(406.2972106933594, 546.4890747070312, 473.857177734375, 559.4610595703125)"
65,Pictor,PUPPIS,"(156.44729614257812, 322.92041015625, 197.76329040527344, 335.8924255371094)"
65,Pictor,CARINA,"(110.34329223632812, 476.32843017578125, 154.52728271484375, 489.3004150390625)"
65,Pictor,VOLANS,"(167.1392822265625, 572.7124633789062, 214.23928833007812, 585.6844482421875)"
66,Pisces,ANDROMEDA,"(335.12060546875, 259.49224853515625, 412.7726135253906, 272.4642333984375)"
66,Pisces,AQUARIUS,"(354.5845947265625, 520.9122314453125, 415.4245910644531, 533.8842163085938)"
66,Pisces,ARIES,"(133.90460205078125, 367.876220703125, 166.78460693359375, 380.84820556640625)"
66,Pisces,CETUS,"(200.2165985107422, 502.66021728515625, 237.00860595703125, 515.6322021484375)"
66,Pisces,PEGASUS,"(347.276611328125, 350.6322021484375, 400.59259033203125, 363.60418701171875)"
66,Pisces,PISCES,"(270.8846130371094, 398.70416259765625, 310.47259521484375, 411.6761779785156)"
66,Pisces,TRIANGULUM,"(141.96861267089844, 285.13616943359375, 220.54461669921875, 298.108154296875)"
67,Piscis Austrinus,CAPRICORNUS,"(410.5434875488281, 334.37890625, 494.86749267578125, 347.3509216308594)"
67,Piscis Austrinus,GRUS,"(215.32748413085938, 555.3949584960938, 246.40748596191406, 568.366943359375)"
67,Piscis Austrinus,MICRO,"(437.90350341796875, 479.5189208984375, 481.9914855957031, 492.49090576171875)"
67,Piscis Austrinus,SCOPIUM,"(432.8034973144531, 497.0029296875, 487.10345458984375, 509.97491455078125)"
67,Piscis Austrinus,PISCIS AUSTRINUS,"(251.26748657226562, 464.8309326171875, 359.5074768066406, 477.80291748046875)"
67,Piscis Austrinus,SCULPTOR,"(98.25440216064453, 465.31451416015625, 159.19039916992188, 478.2865295410156)"
67,Piscis Austrinus,AQUARIUS,"(239.47039794921875, 233.3304901123047, 300.3103942871094, 246.302490234375)"
68,Puppis,CARINA,"(279.1611022949219, 600.3301391601562, 323.3451232910156, 613.3021240234375)"
68,Puppis,CANIS,"(377.1890869140625, 337.5421142578125, 412.43310546875, 350.51409912109375)"
68,Puppis,MAJOR,"(374.5130920410156, 350.6461181640625, 415.1091003417969, 363.61810302734375)"
68,Puppis,COLUMBA,"(388.5531005859375, 461.86212158203125, 446.09307861328125, 474.8341064453125)"
68,Puppis,MONOCEROS,"(258.4371032714844, 158.7061004638672, 335.21307373046875, 171.6781005859375)"
68,Puppis,PICTOR,"(445.4450988769531, 613.1580810546875, 487.9730529785156, 626.1300659179688)"
68,Puppis,PUPPIS,"(247.32510375976562, 393.35406494140625, 288.6410827636719, 406.3260803222656)"
68,Puppis,PYXIS,"(133.51759338378906, 340.8356628417969, 169.2860565185547, 355.0041198730469)"
68,Puppis,VELA,"(125.62010192871094, 556.7334594726562, 154.30010986328125, 569.7054443359375)"
68,Puppis,HYDRA,"(124.61209869384766, 173.23741149902344, 165.02809143066406, 186.20941162109375)"
69,Pyxis,HYDRA,"(159.91209411621094, 282.97662353515625, 200.32809448242188, 295.9486083984375)"
69,Pyxis,PUPPIS,"(448.38006591796875, 460.33660888671875, 489.6960144042969, 473.30859375)"
69,Pyxis,PYXIS,"(289.3080749511719, 321.85662841796875, 322.0560607910156, 334.82861328125)"
69,Pyxis,ANTLIA,"(153.45559692382812, 466.72271728515625, 195.6595916748047, 479.6947021484375)"
69,Pyxis,VELA,"(189.76759338378906, 572.2387084960938, 218.44760131835938, 585.210693359375)"
70,Reticulum,DORADO,"(178.3271026611328, 442.33990478515625, 230.2510986328125, 455.3119201660156)"
70,Reticulum,HOROLOGIUM,"(299.86309814453125, 279.0439453125, 382.61505126953125, 292.01593017578125)"
70,Reticulum,HYDRUS,"(365.98309326171875, 566.251953125, 413.9591064453125, 579.2239379882812)"
70,Reticulum,PICTOR,"(101.839111328125, 297.35595703125, 144.3671112060547, 310.32794189453125)"
70,Reticulum,RETICULUM,"(279.1631164550781, 378.6319580078125, 346.72308349609375, 391.60394287109375)"
70,Reticulum,ERIDANUS,"(417.8324890136719, 238.4980926513672, 477.8324890136719, 251.4700927734375)"
70,Reticulum,MENSA,"(204.12448120117188, 564.1061401367188, 244.87648010253906, 577.078125)"
71,Sagitta,AQUILA,"(279.4482116699219, 537.3467407226562, 323.7281799316406, 550.3187255859375)"
71,Sagitta,CYGNUS,"(122.668212890625, 241.2107391357422, 170.5362091064453, 254.1827392578125)"
71,Sagitta,LYRA,"(328.69622802734375, 242.42271423339844, 356.52423095703125, 255.39471435546875)"
71,Sagitta,SAGIT TA,"(305.3922119140625, 425.1107177734375, 354.3762512207031, 438.08270263671875)"
71,Sagitta,VULPECULA,"(269.7042236328125, 370.82269287109375, 338.5601501464844, 383.7947082519531)"
71,Sagitta,DEL,"(117.37349700927734, 418.97900390625, 144.0255126953125, 431.9510192871094)"
71,Sagitta,PHINUS,"(108.57749938964844, 429.9830322265625, 152.83349609375, 442.95501708984375)"
71,Sagitta,HERCULES,"(413.25750732421875, 457.2950439453125, 473.5094909667969, 470.26702880859375)"
72,Sagittarius,ARA,"(401.279296875, 570.5684204101562, 424.1393127441406, 583.5404052734375)"
72,Sagittarius,CORONA,"(300.28729248046875, 499.84039306640625, 350.6272888183594, 512.8123779296875)"
