page,chart,masked_text,bbox
9,Boötes,BOREALIS,"(108.45890808105469, 361.1124267578125, 165.1949005126953, 374.08441162109375)"
9,Boötes,CANES,"(363.1708984375, 265.62841796875, 401.2589111328125, 278.60040283203125)"
9,Boötes,VENATICI,"(355.41888427734375, 278.732421875, 409.0228271484375, 291.70440673828125)"
9,Boötes,SERPENS,"(137.57089233398438, 594.3444213867188, 188.6428985595703, 607.31640625)"
9,Boötes,CAPUT,"(143.85888671875, 607.4484252929688, 182.35488891601562, 620.42041015625)"
9,Boötes,DRACO,"(194.54440307617188, 157.44969177246094, 235.29641723632812, 170.42169189453125)"
9,Boötes,URSA MAJOR,"(303.576416015625, 148.7136688232422, 379.69244384765625, 161.6856689453125)"
9,Boötes,HERCULES,"(91.58441162109375, 221.5416717529297, 151.83642578125, 234.513671875)"
9,Boötes,VIRGO,"(276.60040283203125, 627.1656494140625, 313.47637939453125, 640.1376342773438)"
10,Caelum,MANUAL,"(102.5, 235.0, 160.0, 267.5)"
10,Caelum,MANUAL,"(315.0, 245.0, 392.5, 277.5)"
10,Caelum,MANUAL,"(137.5, 302.5, 215.0, 335.0)"
10,Caelum,MANUAL,"(262.5, 377.5, 335.0, 410.0)"
10,Caelum,MANUAL,"(157.5, 500.0, 220.0, 535.0)"
10,Caelum,MANUAL,"(367.5, 500.0, 470.0, 537.5)"
11,Camelopardalis,CAMELOPARDALIS,"(257.3994140625, 460.32818603515625, 364.07940673828125, 473.3002014160156)"
11,Camelopardalis,CASSIOPEIA,"(397.5234069824219, 353.85223388671875, 467.3514099121094, 366.82421875)"
11,Camelopardalis,LYNX,"(200.50741577148438, 546.2122192382812, 229.00741577148438, 559.1842041015625)"
11,Camelopardalis,PERSEUS,"(441.25140380859375, 512.7442626953125, 492.1913757324219, 525.7162475585938)"
11,Camelopardalis,URSA,"(185.6033935546875, 276.500244140625, 216.05938720703125, 289.47222900390625)"
11,Camelopardalis,MINOR,"(180.93539428710938, 287.5042724609375, 220.72740173339844, 300.47625732421875)"
11,Camelopardalis,AURIGA,"(369.97509765625, 561.4053344726562, 414.4710998535156, 574.3773193359375)"
11,Camelopardalis,URSA,"(114.423095703125, 439.40130615234375, 144.87908935546875, 452.3733215332031)"
11,Camelopardalis,MAJOR,"(109.34709167480469, 450.40533447265625, 149.94308471679688, 463.3773193359375)"
11,Camelopardalis,DRACO,"(183.6990966796875, 341.67333984375, 224.45111083984375, 354.64532470703125)"
11,Camelopardalis,CEPHEUS,"(351.2311096191406, 248.79331970214844, 404.487060546875, 261.76531982421875)"
12,Cancer,CANIS,"(438.78369140625, 515.2315063476562, 474.0277099609375, 528.2034912109375)"
12,Cancer,MINOR,"(436.51568603515625, 528.3355102539062, 476.3076477050781, 541.3074951171875)"
12,Cancer,CANCER,"(306.01568603515625, 440.0035400390625, 352.8876953125, 452.97552490234375)"
12,Cancer,GEMINI,"(421.2156982421875, 339.87554931640625, 464.0676574707031, 352.8475341796875)"
12,Cancer,LEO,"(143.22369384765625, 232.7395477294922, 165.06370544433594, 245.7115478515625)"
12,Cancer,MINOR,"(134.24769592285156, 245.8435516357422, 174.03968811035156, 258.8155517578125)"
12,Cancer,LYNX,"(304.57470703125, 257.20953369140625, 333.07470703125, 270.1815185546875)"
12,Cancer,LEO,"(126.60270690917969, 407.92950439453125, 148.44271850585938, 420.9015197753906)"
12,Cancer,HYDRA,"(248.3787078857422, 561.5655517578125, 288.79473876953125, 574.5375366210938)"
13,Canes Venatici,BOOTES,"(102.68990325927734, 440.32330322265625, 148.69790649414062, 453.2953186035156)"
13,Canes Venatici,COMA,"(250.48190307617188, 518.3233032226562, 285.32989501953125, 531.2952880859375)"
13,Canes Venatici,BERENICES,"(236.12989807128906, 531.4273071289062, 299.6938781738281, 544.3992919921875)"
13,Canes Venatici,CANES,"(236.52589416503906, 431.55133056640625, 274.6138916015625, 444.5233154296875)"
13,Canes Venatici,VENATICI,"(228.76190185546875, 444.65533447265625, 282.3658752441406, 457.6273193359375)"
13,Canes Venatici,URSA,"(410.3338928222656, 266.91131591796875, 440.7899169921875, 279.88330078125)"
13,Canes Venatici,MAJOR,"(405.2579040527344, 280.01531982421875, 445.8539123535156, 292.9873046875)"
14,Canis Major,CANIS,"(293.67291259765625, 426.5, 328.91693115234375, 439.4720153808594)"
14,Canis Major,MAJOR,"(290.9969177246094, 439.60400390625, 331.5929260253906, 452.5760192871094)"
14,Canis Major,COLUMBA,"(417.26092529296875, 489.2120361328125, 474.8009033203125, 502.18402099609375)"
14,Canis Major,LEPUS,"(424.6289367675781, 326.91204833984375, 460.4609069824219, 339.884033203125)"
14,Canis Major,MONOCEROS,"(169.616943359375, 267.64404296875, 246.39292907714844, 280.61602783203125)"
14,Canis Major,PUPPIS,"(160.9889373779297, 491.51605224609375, 202.30494689941406, 504.488037109375)"
15,Canis Minor,CANIS,"(238.2899932861328, 379.89703369140625, 273.53399658203125, 392.8690185546875)"
15,Canis Minor,MINOR,"(236.00999450683594, 397.3690185546875, 275.8019714355469, 410.34100341796875)"
15,Canis Minor,CANCER,"(139.63800048828125, 300.86505126953125, 186.510009765625, 313.8370361328125)"
15,Canis Minor,GEMINI,"(297.41400146484375, 315.1690673828125, 340.2659606933594, 328.14105224609375)"
15,Canis Minor,MONOCEROS,"(345.6419982910156, 559.7770385742188, 422.41796875, 572.7490234375)"
15,Canis Minor,HYDRA,"(115.59960174560547, 442.23443603515625, 156.01559448242188, 455.2064208984375)"
16,Capricornus,AQUARIUS,"(215.35299682617188, 245.7187957763672, 276.1929931640625, 258.6907958984375)"
16,Capricornus,CAPRICORNUS,"(281.38897705078125, 429.48681640625, 365.7129821777344, 442.45880126953125)"
16,Capricornus,MICROSCOPIUM,"(249.2529754638672, 527.0587768554688, 343.95697021484375, 540.03076171875)"
16,Capricornus,PISCIS,"(117.56497192382812, 529.1947631835938, 154.30897521972656, 542.166748046875)"
16,Capricornus,AUSTRINUS,"(102.7209701538086, 542.2987670898438, 169.15298461914062, 555.270751953125)"
16,Capricornus,AQUILA,"(370.7030944824219, 271.80035400390625, 414.9830627441406, 284.7723388671875)"
16,Capricornus,SAGIT TARIUS,"(416.8670959472656, 523.0083618164062, 493.72711181640625, 535.9803466796875)"
17,Carina,CARINA,"(333.1518859863281, 363.27978515625, 377.3359069824219, 376.2518005371094)"
17,Carina,DORADO,"(436.639892578125, 472.79180908203125, 488.56390380859375, 485.7637939453125)"
17,Carina,MENSA,"(358.8678894042969, 542.3438110351562, 399.619873046875, 555.3157958984375)"
17,Carina,MUSCA,"(147.64389038085938, 551.1398315429688, 189.31988525390625, 564.11181640625)"
17,Carina,PICTOR,"(455.0838928222656, 413.17578125, 497.6118469238281, 426.1477966308594)"
17,Carina,VELA,"(170.85189819335938, 283.539794921875, 199.5319061279297, 296.51177978515625)"
17,Carina,VOLANS,"(284.9359130859375, 506.82379150390625, 332.035888671875, 519.7957763671875)"
17,Carina,PUPPIS,"(346.5151062011719, 231.9961395263672, 387.8310546875, 244.9681396484375)"
18,Cassiopeia,ANDROMEDA,"(303.93359375, 541.4815063476562, 381.5856018066406, 554.4534912109375)"
18,Cassiopeia,CAMELOPARDALIS,"(92.84159851074219, 234.30552673339844, 199.52159118652344, 247.27752685546875)"
18,Cassiopeia,CASSIOPEIA,"(211.6175994873047, 359.60955810546875, 281.445556640625, 372.58154296875)"
18,Cassiopeia,CEPHEUS,"(416.48162841796875, 299.33355712890625, 469.7375793457031, 312.3055419921875)"
18,Cassiopeia,PERSEUS,"(149.8939971923828, 458.58892822265625, 200.83399963378906, 471.5609130859375)"
19,Centaurus,ANTLIA,"(449.83538818359375, 381.65289306640625, 492.03936767578125, 394.6249084472656)"
19,Centaurus,CARINA,"(403.0409851074219, 559.3067016601562, 447.2250061035156, 572.2786865234375)"
19,Centaurus,CENTAURUS,"(294.81298828125, 386.78271484375, 364.3169860839844, 399.75469970703125)"
19,Centaurus,CIRCINUS,"(208.17298889160156, 531.9946899414062, 264.1530456542969, 544.9666748046875)"
19,Centaurus,CRATER,"(404.13299560546875, 245.3147430419922, 447.83697509765625, 258.2867431640625)"
19,Centaurus,CRUX,"(300.6929931640625, 495.82672119140625, 331.61700439453125, 508.7987365722656)"
19,Centaurus,CORVUS,"(306.02099609375, 252.59873962402344, 353.37298583984375, 265.57073974609375)"
19,Centaurus,LIBRA,"(139.42498779296875, 259.90673828125, 172.66500854492188, 272.87872314453125)"
19,Centaurus,MUSCA,"(273.4784851074219, 562.5840454101562, 315.1545104980469, 575.5560302734375)"
19,Centaurus,NORMA,"(112.198486328125, 492.04803466796875, 156.01048278808594, 505.02001953125)"
19,Centaurus,VELA,"(462.77850341796875, 470.196044921875, 491.4584655761719, 483.16802978515625)"
19,Centaurus,HYDRA,"(251.28219604492188, 295.48541259765625, 291.6982116699219, 308.4573974609375)"
20,Cepheus,CASSIOPEIA,"(136.32029724121094, 415.30963134765625, 206.14830017089844, 428.2816162109375)"
20,Cepheus,CEPHEUS,"(300.1802978515625, 447.49359130859375, 353.4362487792969, 460.4656066894531)"
20,Cepheus,LACERTA,"(264.6483154296875, 642.5176391601562, 315.4443054199219, 655.4896240234375)"
20,Cepheus,URSA MINOR,"(394.6803283691406, 221.47361755371094, 469.9923095703125, 234.44561767578125)"
20,Cepheus,CYGNUS,"(440.0498046875, 549.9863891601562, 487.9178466796875, 562.9583740234375)"
20,Cepheus,ANDROMEDA,"(109.8577880859375, 632.0064086914062, 187.509765625, 644.9783935546875)"
20,Cepheus,CAMELOPARDALIS,"(114.10578918457031, 216.0743865966797, 220.78578186035156, 229.04638671875)"
20,Cepheus,DRACO,"(460.59381103515625, 354.39837646484375, 501.3458251953125, 367.3703918457031)"
21,Cetus,CETUS,"(309.1474914550781, 390.91802978515625, 345.9394836425781, 403.8900146484375)"
21,Cetus,ERIDANUS,"(118.65950012207031, 413.238037109375, 178.65948486328125, 426.21002197265625)"
21,Cetus,FORNAX,"(189.09950256347656, 495.58203125, 236.84750366210938, 508.55401611328125)"
21,Cetus,PISCES,"(346.14349365234375, 261.53399658203125, 385.7314758300781, 274.5059814453125)"
21,Cetus,SCULPTOR,"(401.271484375, 529.1220092773438, 462.20745849609375, 542.093994140625)"
22,Chamaeleon,APUS,"(109.51029968261719, 417.46881103515625, 139.7742919921875, 430.4408264160156)"
22,Chamaeleon,CARINA,"(346.6903076171875, 222.2767791748047, 390.87432861328125, 235.248779296875)"
22,Chamaeleon,CHAMAELEON,"(197.9383087158203, 429.75677490234375, 280.25830078125, 442.7287902832031)"
22,Chamaeleon,CRUX,"(117.93431091308594, 178.90879821777344, 148.85830688476562, 191.88079833984375)"
22,Chamaeleon,MENSA,"(427.58233642578125, 487.77679443359375, 468.3343200683594, 500.7488098144531)"
22,Chamaeleon,MUSCA,"(138.77835083007812, 367.84881591796875, 180.454345703125, 380.82080078125)"
22,Chamaeleon,OCTANS,"(218.51834106445312, 591.2168579101562, 265.2703552246094, 604.1888427734375)"
